datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2020 5:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PEP,SMECO,324.304,True
11/1/2020 5:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PL,UGI,107.694,True
11/1/2020 5:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,62.264,True
11/1/2020 5:00:00 AM,11/1/2020 1:00:00 AM,RTO,RTO,RTO,RTO,68705.699,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,AE,AECO,791.816,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3604.141,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2405.978,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,AEP,AEPKPT,531.130,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,AEP,AEPOPT,4802.506,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,AP,AP,4512.825,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,BC,BC,2564.470,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,CE,CE,7910.328,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,DAY,DAY,1393.000,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,DEOK,DEOK,2125.941,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,8960.793,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1614.428,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,DUQ,DUQ,1134.416,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,DPL,EASTON,22.608,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,SERC,WEST,EKPC,EKPC,1101.038,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1855.219,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,ME,ME,1321.767,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,ATSI,OE,5178.246,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,OVEC,OVEC,43.000,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,WEST,ATSI,PAPWR,395.820,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PE,PE,3267.668,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2095.072,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PL,PLCO,3615.298,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PN,PN,1486.033,True
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,PS,PS,3806.831,False
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,RFC,MIDATL,RECO,RECO,116.837,False
