datetime_date,datetime_time,mw
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,98.678
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,60.651
11/1/2020 6:00:00 AM,11/1/2020 1:00:00 AM,67129.024
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,780.463
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,3565.068
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,2348.93
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,526.491
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,4738.59
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,4477.077
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,2524.327
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,7796.89
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1381
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,2104.271
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,8972.391
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1598.107
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1132.432
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,22.166
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1090.762
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1832.03
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1313.127
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,5130.215
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,36
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,401.769
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,3215.363
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1926.669
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,3575.162
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,1515.577
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,3751.849
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,115.652
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,304.393
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,97.662
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,59.878
11/1/2020 7:00:00 AM,11/1/2020 2:00:00 AM,66334.311
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,775.189
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,3551.079
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,2314.985
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,524.846
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,4712.284
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,4465.051
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,2495.141
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,7816.404
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1372
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,2082.968
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,8923.279
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1587.871
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1138.237
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,22.13
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1055.067
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1826.639
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1303.83
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,5066.92
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,38
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,407.981
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,3197.656
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1960.678
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,3554.363
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,1507.12
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,3710.629
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,114.025
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,298.053
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,102.253
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,59.085
11/1/2020 8:00:00 AM,11/1/2020 3:00:00 AM,65983.763
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,780.185
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,3578.498
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,2426.323
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,521.358
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,4711.462
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,4476.458
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,2505.397
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,7873.396
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1373
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,2087.394
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,8938.911
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1602.089
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1141.352
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,22.14
11/1/2020 9:00:00 AM,11/1/2020 4:00:00 AM,1102.551
