route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,sum_ridership,day_count
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-09-01,201709,SUN.,1294,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-09-06,201709,SUN.,4258,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-09-01,201709,WEEKDAY,2202,,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-09-20,201709,WEEKDAY,7108,,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-10-01,201710,SAT.,2015,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-10-04,201710,SAT.,5253,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-10-01,201710,SUN.,1305,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-10-05,201710,SUN.,3746,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-10-01,201710,WEEKDAY,2201,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-10-22,201710,WEEKDAY,6932,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-11-01,201711,SAT.,1779,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-11-04,201711,SAT.,4135,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-11-01,201711,SUN.,1116,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-11-05,201711,SUN.,3240,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-11-01,201711,WEEKDAY,2126,,21
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-11-21,201711,WEEKDAY,6549,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-12-01,201712,SAT.,1995,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-12-05,201712,SAT.,3939,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-12-01,201712,SUN.,1132,,6
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-12-06,201712,SUN.,2787,,6
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-12-01,201712,WEEKDAY,2018,,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-12-20,201712,WEEKDAY,5627,,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-01-01,201801,SAT.,1554,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-01-04,201801,SAT.,3511,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-01-01,201801,SUN.,1064,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-01-05,201801,SUN.,2750,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-01-01,201801,WEEKDAY,1858,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-01-22,201801,WEEKDAY,5656,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-02-01,201802,SAT.,1805,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-02-04,201802,SAT.,4918,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-02-01,201802,SUN.,1272,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-02-05,201802,SUN.,3519,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-02-01,201802,WEEKDAY,1987,,20
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-02-20,201802,WEEKDAY,6703,,20
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-03-01,201803,SAT.,1805,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-03-05,201803,SAT.,4366,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-03-01,201803,SUN.,1257,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-03-04,201803,SUN.,3152,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-03-01,201803,WEEKDAY,1970,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-03-22,201803,WEEKDAY,6254,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-04-01,201804,SAT.,1899,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-04-04,201804,SAT.,5054,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-04-01,201804,SUN.,1188,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-04-05,201804,SUN.,3767,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-04-01,201804,WEEKDAY,2040,,21
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-04-21,201804,WEEKDAY,6743,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-05-01,201805,SAT.,2054,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-05-04,201805,SAT.,4734,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-05-01,201805,SUN.,1265,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-05-05,201805,SUN.,3324,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-05-01,201805,WEEKDAY,2124,,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-05-22,201805,WEEKDAY,6152,,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-06-01,201806,SAT.,1954,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-06-05,201806,SAT.,4186,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-06-01,201806,SUN.,1369,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-06-04,201806,SUN.,2851,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-06-01,201806,WEEKDAY,2241,,21
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-06-21,201806,WEEKDAY,5803,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-07-01,201807,SAT.,1963,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-07-04,201807,SAT.,4340,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-07-01,201807,SUN.,1451,,6
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-07-05,201807,SUN.,3081,,6
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-07-01,201807,WEEKDAY,2263,,21
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-07-21,201807,WEEKDAY,5923,,21
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-08-01,201808,SAT.,2121,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-08-04,201808,SAT.,4704,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-08-01,201808,SUN.,1472,,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-08-05,201808,SUN.,3860,,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-08-01,201808,WEEKDAY,2278,,23
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-08-23,201808,WEEKDAY,6369,,23
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-09-01,201809,SAT.,2006,,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-09-05,201809,SAT.,5413,,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-09-01,201809,SUN.,1459,,6
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-09-06,201809,SUN.,4118,,6
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-09-01,201809,WEEKDAY,2292,,19
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2018-09-19,201809,WEEKDAY,7206,,19
59,59,59 - MON VALLEY,West Mifflin,Bus,2018-10-01,201810,SAT.,2003,,4
