route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-06-01,201706,WEEKDAY,9989,22
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,2017-06-01,201706,WEEKDAY,11333,22
MI,0,MONONGAHELA INCLINE,Incline,Incline,2017-06-01,201706,SAT.,2973,4
MI,0,MONONGAHELA INCLINE,Incline,Incline,2017-06-01,201706,SUN.,1989,4
MI,0,MONONGAHELA INCLINE,Incline,Incline,2017-06-01,201706,WEEKDAY,2090,22
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-07-01,201707,SAT.,1361,5
4,4,4 - TROY HILL,Ross,Bus,2017-07-01,201707,SAT.,265,5
6,6,6 - SPRING HILL,Ross,Bus,2017-07-01,201707,SAT.,535,5
8,8,8 - PERRYSVILLE,Ross,Bus,2017-07-01,201707,SAT.,1812,5
11,11,11 - FINEVIEW,Ross,Bus,2017-07-01,201707,SAT.,228,5
12,12,12 - MCKNIGHT,Ross,Bus,2017-07-01,201707,SAT.,1206,5
13,13,13 - BELLEVUE,Ross,Bus,2017-07-01,201707,SAT.,1454,5
14,14,14 - OHIO VALLEY,Ross,Bus,2017-07-01,201707,SAT.,631,5
15,15,15 - CHARLES,Ross,Bus,2017-07-01,201707,SAT.,813,5
16,16,16 - BRIGHTON,Ross,Bus,2017-07-01,201707,SAT.,2113,5
17,17,17 - SHADELAND,Ross,Bus,2017-07-01,201707,SAT.,650,5
21,21,21 - CORAOPOLIS,Collier,Bus,2017-07-01,201707,SAT.,736,5
22,22,22 - MCCOY,Collier,Bus,2017-07-01,201707,SAT.,440,5
24,24,24 - WEST PARK,Collier,Bus,2017-07-01,201707,SAT.,1253,5
26,26,26 - CHARTIERS,Collier,Bus,2017-07-01,201707,SAT.,572,5
27,27,27 - FAIRYWOOD,Collier,Bus,2017-07-01,201707,SAT.,590,5
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-07-01,201707,SAT.,1545,5
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-07-01,201707,SAT.,914,5
38,38,38 - GREEN TREE,Collier,Bus,2017-07-01,201707,SAT.,311,5
39,39,39 - BROOKLINE,Collier,Bus,2017-07-01,201707,SAT.,251,5
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-07-01,201707,SAT.,240,5
41,41,41 - BOWER HILL,Collier,Bus,2017-07-01,201707,SAT.,566,5
43,43,43 - BAILEY,Collier,Bus,2017-07-01,201707,SAT.,360,5
44,44,44 - VIA KNOXVILLE,Collier,Bus,2017-07-01,201707,SAT.,294,5
48,48,48 - ARLINGTON,Collier,Bus,2017-07-01,201707,SAT.,1854,5
51,51,51 - CARRICK,West Mifflin,Bus,2017-07-01,201707,SAT.,4943,5
53,53,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-07-01,201707,SAT.,352,5
54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-07-01,201707,SAT.,1891,5
55,55,55 - GLASSPORT,West Mifflin,Bus,2017-07-01,201707,SAT.,673,5
56,56,56 - LINCOLN PLACE,West Mifflin,Bus,2017-07-01,201707,SAT.,699,5
57,57,57 - HAZELWOOD,West Mifflin,Bus,2017-07-01,201707,SAT.,898,5
58,58,58 - GREENFIELD,East Liberty,Bus,2017-07-01,201707,SAT.,223,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-07-01,201707,SAT.,1910,5
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-07-01,201707,SAT.,2565,5
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-07-01,201707,SAT.,2090,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-07-08,201707,SAT.,4062,5
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-07-01,201707,SAT.,2651,5
64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-07-01,201707,SAT.,1528,5
67,67,67 - MONROEVILLE,East Liberty,Bus,2017-07-01,201707,SAT.,843,5
68,68,68 - BRADDOCK HILLS,East Liberty,Bus,2017-07-01,201707,SAT.,460,5
69,69,69 - TRAFFORD,East Liberty,Bus,2017-07-01,201707,SAT.,381,5
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-07-01,201707,SAT.,2387,5
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-07-01,201707,SAT.,1696,5
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-07-01,201707,SAT.,2360,5
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-07-01,201707,SAT.,1536,5
74,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-07-01,201707,SAT.,519,5
75,75,75 - ELLSWORTH,East Liberty,Bus,2017-07-01,201707,SAT.,1505,5
77,77,77 - PENN HILLS,East Liberty,Bus,2017-07-01,201707,SAT.,1113,5
79,79,79 - EAST HILLS,East Liberty,Bus,2017-07-01,201707,SAT.,737,5
81,81,81 - OAK HILL,West Mifflin,Bus,2017-07-01,201707,SAT.,859,5
82,82,82 - LINCOLN,East Liberty,Bus,2017-07-01,201707,SAT.,2488,5
83,83,83 - BEDFORD HILL,West Mifflin,Bus,2017-07-01,201707,SAT.,1436,5
86,86,86 - LIBERTY,East Liberty,Bus,2017-07-01,201707,SAT.,2585,5
87,87,87 - FRIENDSHIP,East Liberty,Bus,2017-07-01,201707,SAT.,714,5
88,88,88 - PENN,East Liberty,Bus,2017-07-01,201707,SAT.,1563,5
89,89,89 - GARFIELD COMMONS,East Liberty,Bus,2017-07-01,201707,SAT.,275,5
