route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SAT.,970,4
4,4,4 - TROY HILL,Ross,Bus,2017-01-01,201701,SAT.,218,4
6,6,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SAT.,496,4
8,8,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SAT.,1480,4
11,11,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SAT.,208,4
12,12,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SAT.,1070,4
13,13,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SAT.,1253,4
14,14,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SAT.,478,4
15,15,15 - CHARLES,Ross,Bus,2017-01-01,201701,SAT.,672,4
16,16,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SAT.,2070,4
17,17,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SAT.,499,4
21,21,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SAT.,480,4
22,22,22 - MCCOY,Collier,Bus,2017-01-01,201701,SAT.,424,4
24,24,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SAT.,1128,4
26,26,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SAT.,504,4
27,27,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SAT.,634,4
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SAT.,1340,4
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SAT.,768,4
38,38,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SAT.,333,4
39,39,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,SAT.,182,4
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SAT.,216,4
41,41,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SAT.,464,4
43,43,43 - BAILEY,Collier,Bus,2017-01-01,201701,SAT.,279,4
44,44,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SAT.,285,4
48,48,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SAT.,1867,4
51,51,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SAT.,4542,4
53,53,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-01-01,201701,SAT.,299,4
54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SAT.,2311,4
55,55,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SAT.,610,4
56,56,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SAT.,605,4
57,57,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SAT.,858,4
58,58,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SAT.,244,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SAT.,1641,4
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SAT.,2823,4
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SAT.,2271,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-07,201701,SAT.,3764,4
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SAT.,3213,4
64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-01-01,201701,SAT.,1386,4
67,67,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SAT.,738,4
68,68,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,347,4
69,69,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SAT.,284,4
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SAT.,2570,4
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SAT.,1770,4
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SAT.,3148,4
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SAT.,1883,4
74,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,SAT.,392,4
75,75,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SAT.,1784,4
77,77,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,880,4
79,79,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,580,4
81,81,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,704,4
82,82,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SAT.,2339,4
83,83,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,1232,4
86,86,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SAT.,2060,4
87,87,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SAT.,573,4
88,88,88 - PENN,East Liberty,Bus,2017-01-01,201701,SAT.,1289,4
89,89,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SAT.,232,4
91,91,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SAT.,1536,4
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SAT.,932,4
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SAT.,4407,4
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,758,4
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,385,4
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,572,4
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SUN.,737,5
6,6,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SUN.,378,5
8,8,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SUN.,909,5
11,11,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SUN.,111,5
12,12,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SUN.,670,5
13,13,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SUN.,676,5
14,14,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SUN.,337,5
15,15,15 - CHARLES,Ross,Bus,2017-01-01,201701,SUN.,388,5
16,16,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SUN.,1115,5
17,17,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SUN.,357,5
21,21,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SUN.,253,5
24,24,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SUN.,838,5
26,26,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SUN.,314,5
27,27,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SUN.,418,5
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SUN.,1174,5
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SUN.,547,5
38,38,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SUN.,160,5
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SUN.,149,5
41,41,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SUN.,279,5
43,43,43 - BAILEY,Collier,Bus,2017-01-01,201701,SUN.,228,5
44,44,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SUN.,209,5
48,48,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SUN.,877,5
51,51,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SUN.,2743,5
54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SUN.,1190,5
55,55,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SUN.,419,5
56,56,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SUN.,429,5
57,57,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SUN.,602,5
58,58,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SUN.,155,5
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SUN.,1007,5
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SUN.,1961,5
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SUN.,1477,5
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-08,201701,SUN.,2722,5
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SUN.,2148,5
64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-01-01,201701,SUN.,815,5
67,67,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SUN.,453,5
68,68,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,171,5
69,69,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SUN.,209,5
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SUN.,1622,5
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SUN.,1093,5
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SUN.,1797,5
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SUN.,1203,5
75,75,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SUN.,1111,5
77,77,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,572,5
79,79,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,361,5
81,81,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,453,5
82,82,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SUN.,1589,5
83,83,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,639,5
86,86,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SUN.,1415,5
87,87,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SUN.,182,5
88,88,88 - PENN,East Liberty,Bus,2017-01-01,201701,SUN.,1109,5
89,89,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SUN.,153,5
91,91,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SUN.,895,5
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SUN.,561,5
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SUN.,2826,5
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,519,5
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,310,5
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,WEEKDAY,1552,22
2,2,2 - MOUNT ROYAL,Ross,Bus,2017-01-01,201701,WEEKDAY,1020,22
4,4,4 - TROY HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,684,22
6,6,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,1135,22
7,7,7 - SPRING GARDEN,Ross,Bus,2017-01-01,201701,WEEKDAY,147,22
8,8,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,WEEKDAY,3071,22
11,11,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,WEEKDAY,546,22
12,12,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,WEEKDAY,933,22
13,13,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,WEEKDAY,2006,22
14,14,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,WEEKDAY,1134,22
15,15,15 - CHARLES,Ross,Bus,2017-01-01,201701,WEEKDAY,1000,22
16,16,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,WEEKDAY,3736,22
17,17,17 - SHADELAND,Ross,Bus,2017-01-01,201701,WEEKDAY,1137,22
18,18,18 - MANCHESTER,Ross,Bus,2017-01-01,201701,WEEKDAY,83,22
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2017-01-01,201701,WEEKDAY,633,22
20,20,20 - KENNEDY,Collier,Bus,2017-01-01,201701,WEEKDAY,526,22
21,21,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,WEEKDAY,1164,22
22,22,22 - MCCOY,Collier,Bus,2017-01-01,201701,WEEKDAY,765,22
24,24,24 - WEST PARK,Collier,Bus,2017-01-01,201701,WEEKDAY,1469,22
26,26,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,WEEKDAY,966,22
27,27,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,WEEKDAY,1059,22
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1744,22
29,29,29 - ROBINSON,Collier,Bus,2017-01-01,201701,WEEKDAY,825,22
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,1510,22
36,36,36 - BANKSVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,541,22
38,38,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,WEEKDAY,2353,22
39,39,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,WEEKDAY,1448,22
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,588,22
41,41,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,WEEKDAY,1652,22
43,43,43 - BAILEY,Collier,Bus,2017-01-01,201701,WEEKDAY,701,22
44,44,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,968,22
48,48,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,2957,22
51,51,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,7398,22
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,702,22
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,408,22
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1288,22
54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,WEEKDAY,3775,22
55,55,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,803,22
56,56,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1618,22
57,57,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1153,22
58,58,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1139,22
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1835,22
60,60,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,462,22
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4466,22
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4035,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-20,201701,WEEKDAY,5764,22
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4859,22
64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1567,22
65,65,65 - SQUIRREL HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,391,22
67,67,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1953,22
68,68,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,303,22
69,69,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1589,22
71,71,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,110,22
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,5747,22
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,WEEKDAY,4570,22
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,5610,22
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,WEEKDAY,4271,22
74,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,WEEKDAY,875,22
75,75,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,WEEKDAY,3021,22
77,77,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2066,22
78,78,78 - OAKMONT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,113,22
79,79,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,928,22
81,81,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1539,22
82,82,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,3628,22
83,83,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,2169,22
86,86,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2714,22
87,87,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2677,22
88,88,88 - PENN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2992,22
89,89,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,399,22
91,91,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,WEEKDAY,3933,22
93,93,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1644,22
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,WEEKDAY,3628,22
G3,G3,G3 - MOON FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,925,22
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,597,22
O1,O1,O1 - ROSS FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,1233,22
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,1377,22
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2017-01-01,201701,WEEKDAY,101,22
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,9750,22
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,687,22
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1185,22
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,269,22
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,969,22
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,364,22
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1402,22
P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,2746,22
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,444,22
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,825,22
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,245,22
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,701,22
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,623,22
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1041,22
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,906,22
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,719,22
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,266,22
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1654,22
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,985,22
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1183,22
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,SAT.,1177,4
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,SAT.,1006,4
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,2017-01-01,201701,SAT.,4614,4
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,SUN.,1467,5
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,SUN.,1295,5
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,2017-01-01,201701,SUN.,3601,5
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,WEEKDAY,6237,22
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,WEEKDAY,8674,22
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,2017-01-01,201701,WEEKDAY,10623,22
MI,0,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,SAT.,1914,4
MI,0,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,SUN.,1078,5
MI,0,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,WEEKDAY,814,22
1,1,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,SAT.,1239,4
4,4,4 - TROY HILL,Ross,Bus,2017-02-01,201702,SAT.,278,4
6,6,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,SAT.,559,4
8,8,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,SAT.,1750,4
11,11,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,SAT.,229,4
12,12,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,SAT.,1242,4
13,13,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,SAT.,1474,4
14,14,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,SAT.,586,4
15,15,15 - CHARLES,Ross,Bus,2017-02-01,201702,SAT.,805,4
16,16,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,SAT.,2019,4
17,17,17 - SHADELAND,Ross,Bus,2017-02-01,201702,SAT.,533,4
21,21,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,SAT.,571,4
22,22,22 - MCCOY,Collier,Bus,2017-02-01,201702,SAT.,435,4
24,24,24 - WEST PARK,Collier,Bus,2017-02-01,201702,SAT.,1235,4
26,26,26 - CHARTIERS,Collier,Bus,2017-02-01,201702,SAT.,577,4
27,27,27 - FAIRYWOOD,Collier,Bus,2017-02-01,201702,SAT.,632,4
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-02-01,201702,SAT.,1288,4
31,31,31 - BRIDGEVILLE,Collier,Bus,2017-02-01,201702,SAT.,866,4
38,38,38 - GREEN TREE,Collier,Bus,2017-02-01,201702,SAT.,313,4
39,39,39 - BROOKLINE,Collier,Bus,2017-02-01,201702,SAT.,237,4
40,40,40 - MOUNT WASHINGTON,Collier,Bus,2017-02-01,201702,SAT.,236,4
41,41,41 - BOWER HILL,Collier,Bus,2017-02-01,201702,SAT.,518,4
43,43,43 - BAILEY,Collier,Bus,2017-02-01,201702,SAT.,375,4
44,44,44 - VIA KNOXVILLE,Collier,Bus,2017-02-01,201702,SAT.,307,4
48,48,48 - ARLINGTON,Collier,Bus,2017-02-01,201702,SAT.,2085,4
51,51,51 - CARRICK,West Mifflin,Bus,2017-02-01,201702,SAT.,4782,4
53,53,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-02-01,201702,SAT.,316,4
54,54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-02-01,201702,SAT.,2469,4
55,55,55 - GLASSPORT,West Mifflin,Bus,2017-02-01,201702,SAT.,644,4
56,56,56 - LINCOLN PLACE,West Mifflin,Bus,2017-02-01,201702,SAT.,695,4
57,57,57 - HAZELWOOD,West Mifflin,Bus,2017-02-01,201702,SAT.,941,4
58,58,58 - GREENFIELD,East Liberty,Bus,2017-02-01,201702,SAT.,314,4
59,59,59 - MON VALLEY,West Mifflin,Bus,2017-02-01,201702,SAT.,1882,4
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-02-01,201702,SAT.,3392,4
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-02-01,201702,SAT.,2974,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-02-04,201702,SAT.,4498,4
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-02-01,201702,SAT.,3741,4
64,64,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-02-01,201702,SAT.,1571,4
67,67,67 - MONROEVILLE,East Liberty,Bus,2017-02-01,201702,SAT.,898,4
68,68,68 - BRADDOCK HILLS,East Liberty,Bus,2017-02-01,201702,SAT.,383,4
69,69,69 - TRAFFORD,East Liberty,Bus,2017-02-01,201702,SAT.,374,4
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-02-01,201702,SAT.,2936,4
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-02-01,201702,SAT.,2525,4
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-02-01,201702,SAT.,3370,4
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-02-01,201702,SAT.,2257,4
74,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-02-01,201702,SAT.,458,4
75,75,75 - ELLSWORTH,East Liberty,Bus,2017-02-01,201702,SAT.,1974,4
77,77,77 - PENN HILLS,East Liberty,Bus,2017-02-01,201702,SAT.,1057,4
79,79,79 - EAST HILLS,East Liberty,Bus,2017-02-01,201702,SAT.,662,4
81,81,81 - OAK HILL,West Mifflin,Bus,2017-02-01,201702,SAT.,874,4
82,82,82 - LINCOLN,East Liberty,Bus,2017-02-01,201702,SAT.,2663,4
83,83,83 - BEDFORD HILL,West Mifflin,Bus,2017-02-01,201702,SAT.,1321,4
86,86,86 - LIBERTY,East Liberty,Bus,2017-02-01,201702,SAT.,2665,4
87,87,87 - FRIENDSHIP,East Liberty,Bus,2017-02-01,201702,SAT.,584,4
88,88,88 - PENN,East Liberty,Bus,2017-02-01,201702,SAT.,1806,4
89,89,89 - GARFIELD COMMONS,East Liberty,Bus,2017-02-01,201702,SAT.,127,4
91,91,91 - BUTLER STREET,Ross,Bus,2017-02-01,201702,SAT.,1937,4
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-02-01,201702,SAT.,1064,4
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-02-01,201702,SAT.,4456,4
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-02-01,201702,SAT.,799,4
