date,avg_riders
2019-06-01,4450
2019-06-02,3085
2019-06-20,5775
2019-07-06,4232
2019-07-07,3359
2019-07-22,5876
2019-08-03,5007
2019-08-04,3562
2019-08-22,6109
2019-09-07,5250
2019-09-08,4284
2019-09-20,7242
2019-10-05,5364
2019-10-06,3786
2019-10-23,7169
2019-11-02,4777
2019-11-03,3253
2019-11-20,6606
2019-12-07,3866
2019-12-08,2847
2019-12-20,5632
2020-01-04,4255
2020-01-05,2906
2020-01-22,6154
2020-02-01,4793
2020-02-02,3380
2020-02-20,6690
2020-03-07,2405
2020-03-08,2163
2020-03-23,3862
